Watching for file changes with StatReloader
[03/Apr/2026 19:39:58] "GET /api/accounts/me/ HTTP/1.1" 401 183
Unauthorized: /api/accounts/me/
[03/Apr/2026 19:39:58] "GET /api/accounts/me/ HTTP/1.1" 401 183
[03/Apr/2026 19:39:58] "OPTIONS /api/accounts/token/refresh/ HTTP/1.1" 200 0
[03/Apr/2026 19:39:58] "POST /api/accounts/token/refresh/ HTTP/1.1" 200 662
[03/Apr/2026 19:39:58] "GET /api/accounts/me/ HTTP/1.1" 200 585
[03/Apr/2026 19:39:58] "GET /api/accounts/me/ HTTP/1.1" 200 585
[03/Apr/2026 19:39:59] "GET /api/accounts/me/ HTTP/1.1" 200 585
[03/Apr/2026 19:39:59] "GET /api/accounts/me/ HTTP/1.1" 200 585
[03/Apr/2026 19:40:00] "GET /api/accounts/me/ HTTP/1.1" 200 585
[03/Apr/2026 19:40:00] "GET /api/accounts/me/ HTTP/1.1" 200 585
[03/Apr/2026 19:40:02] "POST /api/accounts/login/ HTTP/1.1" 200 1255
[03/Apr/2026 19:40:02] "GET /api/tasks/projects/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:02] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:02] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:40:02] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:02] "GET /api/tasks/projects/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:02] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:02] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:40:02] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:07] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:07] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:07] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:07] "GET /api/audit-logs/ HTTP/1.1" 200 1215
[03/Apr/2026 19:40:07] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:07] "GET /api/notifications/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:07] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:07] "GET /api/audit-logs/ HTTP/1.1" 200 1215
[03/Apr/2026 19:40:47] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:47] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:40:47] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:40:47] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:50] "GET /api/tasks/projects/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:50] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:50] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:40:50] "GET /api/tasks/projects/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:50] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:40:50] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:40:58] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:40:58] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:40:58] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:40:58] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:41:07] "GET /api/roles/permissions/ HTTP/1.1" 200 1060
[03/Apr/2026 19:41:07] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:41:07] "GET /api/roles/permissions/ HTTP/1.1" 200 1060
[03/Apr/2026 19:41:07] "GET /api/roles/roles/ HTTP/1.1" 200 385
[03/Apr/2026 19:42:13] "POST /api/roles/role-permissions/ HTTP/1.1" 201 338
[03/Apr/2026 19:42:13] "GET /api/roles/roles/ HTTP/1.1" 200 723
[03/Apr/2026 19:42:21] "POST /api/roles/role-permissions/ HTTP/1.1" 201 330
[03/Apr/2026 19:42:21] "POST /api/roles/role-permissions/ HTTP/1.1" 201 329
[03/Apr/2026 19:42:21] "POST /api/roles/role-permissions/ HTTP/1.1" 201 338
[03/Apr/2026 19:42:21] "POST /api/roles/role-permissions/ HTTP/1.1" 201 339
[03/Apr/2026 19:42:21] "GET /api/roles/roles/ HTTP/1.1" 200 2063
[03/Apr/2026 19:42:47] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:42:47] "GET /api/roles/roles/ HTTP/1.1" 200 2063
[03/Apr/2026 19:42:47] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:42:47] "GET /api/roles/roles/ HTTP/1.1" 200 2063
[03/Apr/2026 19:42:49] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:42:49] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:42:49] "GET /api/requests/ HTTP/1.1" 200 52
[03/Apr/2026 19:42:49] "GET /api/accounts/users/ HTTP/1.1" 200 535
Bad Request: /api/requests/
[03/Apr/2026 19:43:42] "POST /api/requests/ HTTP/1.1" 400 48
[03/Apr/2026 19:43:55] "POST /api/requests/ HTTP/1.1" 201 389
[03/Apr/2026 19:43:55] "GET /api/requests/ HTTP/1.1" 200 441
[03/Apr/2026 19:44:06] "OPTIONS /api/requests/1/ HTTP/1.1" 200 0
[03/Apr/2026 19:44:06] "GET /api/requests/1/ HTTP/1.1" 200 389
[03/Apr/2026 19:44:06] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:44:06] "GET /api/requests/1/ HTTP/1.1" 200 389
[03/Apr/2026 19:44:06] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:44:11] "GET /api/tasks/projects/ HTTP/1.1" 200 52
[03/Apr/2026 19:44:11] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
[03/Apr/2026 19:44:11] "GET /api/accounts/users/ HTTP/1.1" 200 535
[03/Apr/2026 19:44:11] "GET /api/tasks/tasks/ HTTP/1.1" 200 52
